City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Klaksvik,FO,62.2266,-6.589,45.52,93,8,16.4,clear sky
69,Luganville,VU,-15.5333,167.1667,78.33,62,64,5.55,broken clouds
70,Saint George,US,37.1041,-113.5841,91.99,6,1,14.97,clear sky
71,Mayumba,GA,-3.432,10.6554,75.88,90,88,5.73,overcast clouds
72,Sestri Levante,IT,44.2732,9.3968,65.07,81,68,3.0,broken clouds
73,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,0,10.36,clear sky
74,Kizlyar,RU,43.8469,46.715,69.58,64,2,3.15,clear sky
75,Kahului,US,20.8947,-156.47,82.42,64,40,23.02,scattered clouds
76,Sakakah,SA,29.9697,40.2064,78.37,15,0,8.84,clear sky
77,Damascus,SY,33.5102,36.2913,58.33,26,0,5.1,clear sky
78,Iqaluit,CA,63.7506,-68.5145,26.33,79,90,18.01,overcast clouds
79,Panaba,MX,21.2833,-88.2667,76.37,87,41,7.52,scattered clouds
80,Avarua,CK,-21.2078,-159.775,78.85,61,20,9.22,few clouds
81,Garissa,KE,-0.4536,39.6401,73.6,79,40,12.28,scattered clouds
82,Pochutla,MX,15.7432,-96.4661,79.83,72,97,3.76,overcast clouds
83,Nelson Bay,AU,-32.7167,152.15,61.77,71,100,4.0,overcast clouds
84,Vaini,TO,-21.2,-175.2,77.16,78,75,2.3,broken clouds
85,Asau,RO,46.4333,26.4,57.76,98,100,3.24,overcast clouds
86,Gopalpur,IN,19.2667,84.9167,88.45,74,31,10.87,scattered clouds
87,Ogbomosho,NG,8.133,4.25,72.07,94,94,4.05,overcast clouds
88,Hailar,CN,49.2,119.7,61.3,36,40,5.91,scattered clouds
89,Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,21.59,few clouds
90,Yellowknife,CA,62.456,-114.3525,57.72,38,20,4.0,few clouds
91,Cayenne,GF,4.9333,-52.3333,78.1,89,75,4.0,broken clouds
92,Sobolevo,RU,54.4299,31.8996,53.51,83,100,7.61,moderate rain
93,Ixtapa,MX,20.7,-105.2,79.23,85,42,1.01,scattered clouds
94,Alyangula,AU,-13.8483,136.4192,84.07,58,75,11.18,broken clouds
95,Longyearbyen,SJ,78.2186,15.6401,31.84,69,20,16.11,few clouds
96,Faanui,PF,-16.4833,-151.75,80.33,70,23,1.1,few clouds
97,Kudahuvadhoo,MV,2.6708,72.8944,83.53,72,100,18.57,overcast clouds
98,Kutum,SD,14.2,24.6667,75.58,12,0,8.84,clear sky
99,Broken Hill,AU,-31.95,141.4333,51.51,50,100,12.66,overcast clouds
100,Nome,US,64.5011,-165.4064,59.07,24,1,18.41,clear sky
